person_id,skill_id,skill_level_id
1368,41,1
1105,24,1
1895,27,1
1715,97,3
62,68,4
1775,73,4
1518,91,4
1394,45,3
295,85,4
1369,70,1
186,26,4
805,24,4
1056,90,3
532,25,2
713,16,2
1338,3,3
1955,34,2
1181,48,3
1422,74,3
794,62,2
1839,81,1
850,53,4
1415,83,3
514,53,2
265,50,1
830,43,2
850,4,2
1048,58,2
958,13,4
1013,64,3
893,6,2
391,5,1
1345,64,2
446,11,1
474,70,1
1991,83,3
652,44,3
842,71,3
740,24,4
366,5,2
337,5,3
180,87,4
601,61,3
880,3,2
948,14,1
1187,78,3
221,14,2
633,51,2
1097,14,2
1505,15,1
1818,13,1
223,2,4
83,36,3
1593,29,2
121,39,3
212,85,1
571,66,3
1366,20,2
1943,98,4
1383,50,1
1347,82,4
349,50,1
1984,42,3
480,36,1
1558,79,4
1356,93,4
900,78,2
1765,85,1
739,55,1
1758,33,1
1320,12,3
1110,30,2
185,45,1
1040,61,2
869,83,1
1015,80,2
1033,48,4
1279,78,2
624,81,2
1024,85,1
1870,99,1
699,69,2
1674,17,4
1030,45,2
1086,32,3
1295,66,3
929,70,1
273,64,3
1073,29,3
514,70,4
1142,45,1
1502,14,1
1503,57,3
79,15,1
769,32,1
94,92,1
239,69,1
23,48,3
1176,89,2
421,63,3
1694,89,4
1682,16,2
1203,28,4
1179,86,4
859,66,2
1140,51,1
986,3,1
461,5,3
695,61,2
1494,74,2
977,95,2
302,65,2
1494,33,4
1833,20,2
320,90,3
1935,28,4
1664,65,2
321,35,2
122,89,3
1249,84,1
810,29,2
734,71,4
126,73,4
458,38,2
447,53,1
1769,28,1
488,12,4
942,46,1
566,9,3
1941,59,1
1930,47,4
77,75,1
795,54,3
1200,19,3
1784,77,4
1910,43,4
435,50,4
341,28,3
363,17,3
31,33,1
1258,59,2
1437,7,4
1789,77,4
957,45,2
294,63,2
473,59,2
1281,33,2
1226,93,4
948,58,4
477,85,4
57,33,4
150,54,2
62,33,1
301,4,1
715,86,1
180,96,2
917,27,4
1804,59,4
1340,51,2
619,57,3
1619,16,1
1220,40,1
1171,92,4
938,68,4
1806,11,4
1451,97,2
747,11,4
816,67,2
1656,41,2
135,79,2
1819,9,1
724,80,3
1425,2,1
1740,97,3
1090,4,3
574,96,3
906,55,3
289,45,1
184,39,3
192,43,4
730,91,1
1498,39,4
1114,17,2
15,20,3
1580,48,1
976,14,1
622,16,4
1392,56,4
1580,62,4
1669,81,4
1122,39,1
703,32,4
165,23,1
1230,61,3
1794,75,4
1860,85,4
795,73,2
1398,39,2
508,23,2
450,92,3
996,18,1
1402,57,4
1198,48,4
805,27,1
1195,76,1
1675,98,4
1462,97,1
801,95,3
718,93,3
1554,48,3
370,69,2
1881,10,1
904,15,3
1829,13,1
1378,99,2
1978,59,4
1178,47,2
1894,44,3
104,46,1
729,42,2
1577,87,2
972,88,1
1382,1,3
1746,7,4
802,7,3
1293,93,3
1674,56,3
472,94,3
103,72,1
829,18,3
335,66,3
738,95,4
68,35,2
517,81,3
1609,2,2
1359,25,4
1987,68,1
966,74,2
1573,78,2
1774,46,2
1405,70,3
665,55,2
1601,78,1
669,36,2
696,57,3
1737,38,1
1888,27,2
1905,81,1
1822,42,1
711,32,3
765,30,4
1032,23,3
79,36,3
381,19,4
1102,57,1
812,70,2
854,14,1
582,44,3
401,81,4
988,52,2
927,36,1
1002,52,4
10,2,1
1633,86,1
1660,43,3
1541,74,2
1644,28,3
387,84,2
1486,81,1
730,45,3
31,100,3
332,92,2
1237,40,4
789,92,4
1270,11,1
458,2,3
507,4,1
1924,10,1
1797,19,3
1239,89,1
1123,25,2
153,83,3
1432,37,2
1213,28,3
1646,86,3
221,26,2
996,87,4
860,56,4
548,5,1
804,50,3
1433,92,3
1841,4,1
1695,74,3
371,40,2
1557,13,1
236,16,1
1192,45,2
1989,100,4
715,65,1
1371,20,4
1542,43,2
648,14,4
1110,83,2
1567,11,4
1799,12,3
1247,60,4
695,64,1
1275,74,4
1607,52,1
1547,88,3
1908,81,3
240,93,3
20,69,4
163,22,1
812,16,4
1817,35,2
523,71,2
317,97,4
1661,11,1
405,85,3
1017,87,4
1500,49,2
1769,75,2
908,8,3
977,11,3
1627,44,2
176,36,3
766,78,3
172,52,3
421,23,1
422,95,4
1843,90,2
1295,75,4
1187,27,2
1197,36,1
1275,23,1
176,53,3
1877,34,1
1848,2,2
198,53,1
1411,32,4
1889,60,3
1943,1,1
1670,60,2
308,89,3
127,21,2
362,30,3
802,41,2
1904,63,1
569,31,4
1345,51,4
1180,99,1
1306,71,2
185,52,2
1558,31,4
1513,69,1
1489,95,1
192,10,4
1941,73,2
1500,26,4
1242,87,1
1597,54,1
373,76,4
1712,65,3
1648,4,1
1510,56,1
331,98,3
950,71,3
168,6,4
1113,96,2
695,94,2
710,74,2
1500,24,4
14,90,1
1140,26,1
1840,48,3
39,79,3
1611,13,1
1332,3,4
1198,93,4
1721,14,3
93,70,3
739,58,1
1307,93,4
1599,47,3
1903,68,3
1189,11,1
806,96,4
115,71,3
1578,63,1
1414,49,1
1799,85,1
613,47,2
906,94,2
1759,16,4
1543,60,2
1608,35,3
726,50,3
697,25,1
1581,61,3
399,31,1
1041,5,2
696,73,2
1491,97,2
381,17,4
727,90,3
1619,48,3
1551,21,1
273,47,1
628,16,1
1936,86,3
1569,41,4
1,4,3
1026,67,4
1226,42,3
567,93,2
810,41,3
442,68,4
297,64,1
1559,43,2
395,71,2
788,75,2
1715,79,2
424,45,1
1915,74,1
396,56,3
328,25,2
1938,100,3
518,80,2
669,49,3
792,36,3
397,41,1
481,83,3
1110,94,1
1465,86,4
210,38,2
145,65,4
933,67,2
439,19,2
667,100,4
32,85,3
1579,50,3
698,36,3
1378,87,2
1482,95,2
751,35,2
1553,77,4
1619,21,2
801,84,3
553,5,2
957,90,4
566,54,1
212,27,4
36,8,3
869,89,1
1178,34,4
505,56,2
1094,66,2
1268,70,3
1255,53,3
1097,10,3
225,83,1
1438,53,3
1286,87,4
1464,73,1
108,67,4
477,76,2
807,3,4
932,83,3
1994,88,3
1278,66,4
430,79,4
1457,91,4
1738,67,2
1296,85,3
1971,14,1
1204,33,4
1420,99,2
300,66,1
1304,48,3
1759,17,1
929,74,1
1860,94,2
1942,36,3
1391,80,1
216,15,4
86,96,1
1218,71,2
1487,79,1
737,72,3
1850,46,1
277,21,4
820,22,4
1536,87,2
1764,91,4
476,50,2
1753,19,3
345,3,1
661,49,2
210,41,4
1921,27,3
1111,95,2
351,36,1
514,55,1
1171,78,4
234,28,3
1704,54,1
808,72,4
1633,91,2
1916,37,1
96,49,3
364,74,4
1543,39,2
905,17,3
527,65,2
86,87,3
334,81,2
1699,80,2
1897,41,1
476,98,1
1360,24,3
1748,31,4
363,43,1
299,71,2
1090,45,3
1871,90,4
1447,47,1
417,66,3
1254,64,4
325,33,3
940,53,4
1305,31,1
559,29,2
709,12,3
1305,100,3
1297,55,4
1309,69,2
180,86,3
1221,89,1
1527,27,3
719,90,2
290,70,2
85,6,1
1729,33,2
686,47,1
1597,38,3
193,97,2
1272,90,4
516,49,2
213,52,1
531,25,3
126,34,1
303,46,4
525,55,4
508,54,3
1387,45,3
433,3,3
1544,20,2
